Symptoms,Sickness
63.17233894,49.28804855
53.25999658,NA
62.5768068,NA
38.21933378,NA
54.62713026,NA
68.86377088,NA
47.36805121,NA
47.17836611,NA
52.26830341,NA
56.81858515,NA
33.24711333,NA
49.47277849,NA
60.68589684,NA
80.83142404,54.44876048
42.50467529,NA
57.03971967,NA
55.19882953,NA
46.33438104,NA
45.98247163,NA
52.13735855,NA
44.02808045,NA
47.94531489,NA
53.11067524,55.1959287
78.6891882,52.40482442
48.97039345,NA
52.71051352,NA
57.40374409,NA
75.16054705,42.64178711
62.92128112,NA
51.66784119,NA
38.06230223,NA
59.86545076,NA
51.85683412,NA
55.55034559,NA
75.188306,38.47614145
58.84319864,NA
61.10638584,NA
59.64172896,NA
45.12123391,NA
46.76750836,NA
56.86375541,NA
59.65367011,NA
49.41401347,NA
49.82964454,NA
66.7530628,NA
63.74419589,NA
50.30246605,NA
48.67056906,NA
52.13554733,NA
47.07608025,NA
52.71153019,NA
62.30882297,NA
49.59531225,NA
67.68798491,NA
43.60712992,NA
32.16583719,NA
54.67847986,NA
69.54311761,NA
48.47525066,NA
56.31985358,NA
26.36718952,NA
56.3855645,NA
49.93113161,NA
54.32171206,NA
62.8861372,NA
56.44201596,NA
75.5720077,55.65783243
39.26939072,NA
52.83460013,NA
33.84201451,NA
48.38104078,NA
65.89885191,NA
51.0559397,NA
65.33959544,NA
71.96569049,NA
55.04075149,NA
62.2862793,NA
60.69481714,NA
50.60829643,NA
59.87228383,NA
59.14762322,NA
57.89870305,47.0106171
46.53369311,NA
76.90702159,38.62813109
50.50537049,NA
54.32617963,NA
43.79662604,NA
60.48559591,NA
52.7443942,NA
51.2493851,NA
61.37391913,NA
42.20401537,NA
46.28757621,NA
45.7733521,NA
33.37217283,NA
51.55205485,NA
68.35230694,NA
61.38511131,NA
71.77259854,NA
59.5102663,NA
62.13180683,NA
59.02258228,NA
67.3960907,NA
55.4964774,NA
62.98891059,NA
33.63053494,NA
44.52072125,NA
45.32110527,NA
56.36502981,NA
37.73853049,NA
63.47836544,NA
61.92624344,NA
39.11701787,NA
60.01154646,NA
64.53513637,NA
59.39967503,NA
58.87767976,NA
54.94887036,NA
49.90720244,NA
57.40449861,NA
61.05363656,NA
36.85456944,NA
62.54399845,NA
62.10406791,NA
58.72146915,NA
45.48614813,NA
58.48216573,NA
55.84711176,50.18496003
62.86545495,NA
62.78732746,NA
52.47401259,NA
61.3849531,NA
48.36749738,NA
72.99460734,52.52873841
48.92168478,NA
71.51519185,NA
61.02389898,NA
62.97827704,NA
61.0148099,NA
57.93511074,NA
71.71338911,NA
42.07516029,NA
76.24242364,47.16327489
59.64197499,NA
68.37155059,NA
60.67691052,NA
34.67339749,NA
51.50422223,NA
69.60561282,NA
73.7194683,55.21463956
51.1165241,NA
54.2927964,NA
63.80393678,NA
63.04964007,NA
73.19419265,50.46592431
61.16746277,NA
44.84304751,NA
64.11955313,NA
68.93166315,NA
36.77304331,36.30499332
52.02434613,NA
60.9335088,NA
42.22443643,NA
43.84922189,NA
58.79386053,NA
30.62529175,NA
55.73436129,NA
73.50031918,46.62856638
57.77753034,NA
58.77392855,NA
27.54644928,NA
57.56608102,NA
49.67289191,NA
53.47497336,NA
61.06017858,NA
